source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes,group,problem_type,problem_summary,demo_group,selected_for_demo,demo_to_show
Google Places API,ChIJHcLN2GsFdkgRbBtVMAjL5aM,24/7 POWERUP ELECTRICAL LTD,electrician; establishment; point_of_interest,"42-44 Nightingale Square, London SW12 8QL, UK",SW12 8QL,51.4481829,-0.157756,07982 999412,,5,76,https://maps.google.com/?cid=11810068833880054636,emergency electrician Lambeth,3000,,,,,85,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity,PRIME,no_website,No online presence. Missing 152+ monthly leads with 5★ rating.,A,YES,Demo_1
Google Places API (Text Search),ChIJS4LD_nUEdkgReO-UCEg8HOM,W F Express Electricians Herne Hill,electrician; establishment; point_of_interest,"1 Danecroft Rd, London SE24 9PA, UK",SE24 9PA,51.4577771,-0.0951857,07897 026569,,5,7,https://maps.google.com/?cid=16365021426036830072,electrical companies Brixton,5000,,,,,70,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity,PRIME,no_website,No online presence. Missing 14+ monthly leads with 5★ rating.,A,YES,Demo_2
